feature,coefficient,abs_coefficient
num__racao_total_por_ave,0.2929018542672564,0.2929018542672564
cat__produtor_P306,-0.05046025691858776,0.05046025691858776
cat__tipo_instalacao_Tipo_13,-0.0449791540823418,0.0449791540823418
num__idade_media_dias,-0.04490935669181181,0.04490935669181181
num__pct_mort35,0.041243355767478965,0.041243355767478965
cat__tipo_instalacao_Tipo_2,0.03013474025425671,0.03013474025425671
num__taxa_abate,-0.02370903833665951,0.02370903833665951
cat__tipo_instalacao_Tipo_9,-0.01906780531905291,0.01906780531905291
num__data_abate_ano,0.016717054805386558,0.016717054805386558
cat__tipo_instalacao_Tipo_14,-0.015618330161262163,0.015618330161262163
cat__origem_Origem_5,0.015420949600355878,0.015420949600355878
num__pct_mort49,-0.014955620370020496,0.014955620370020496
num__pct_mort14,0.013115844164303786,0.013115844164303786
cat__nutricao_N_1,0.012796386484599829,0.012796386484599829
num__racao_total,0.010441745854818085,0.010441745854818085
cat__regiao_Regiao_6,-0.010359205585957782,0.010359205585957782
num__racao_cres2,0.009528860108770411,0.009528860108770411
cat__tecnico_Tecnico_2,0.00950331117928757,0.00950331117928757
cat__origem_Origem_22,0.009265554252119591,0.009265554252119591
cat__regiao_Regiao_13,0.008954042735645925,0.008954042735645925
num__data_alojamento_ano,0.008425435792167988,0.008425435792167988
num__area,-0.006781614352487179,0.006781614352487179
cat__tecnico_Tecnico_4,-0.005037717851486541,0.005037717851486541
cat__tecnico_Tecnico_5,0.004330840769379905,0.004330840769379905
cat__genetica_G_2,0.004314263104932539,0.004314263104932539
cat__regiao_Regiao_4,0.0036434681986979964,0.0036434681986979964
cat__genetica_G_4,0.0035397448562577032,0.0035397448562577032
cat__genetica_G_1,-0.0033967896429732856,0.0033967896429732856
cat__origem_Origem_15,-0.0030691882355425165,0.0030691882355425165
cat__tipo_instalacao_Tipo_1,0.002729338991407615,0.002729338991407615
num__pct_mort21,0.0025405972564859045,0.0025405972564859045
num__data_alojamento_mes,-0.0019030793967071945,0.0019030793967071945
num__racao_cres1,0.0014486619680514753,0.0014486619680514753
cat__tipo_instalacao_Tipo_8,0.0014362943674431862,0.0014362943674431862
cat__genetica_G_3,-0.0014103934698761042,0.0014103934698761042
num__peso14,0.0011236430766023283,0.0011236430766023283
cat__regiao_Regiao_2,-0.0011088463651273601,0.0011088463651273601
num__vazio_dias,0.0009121924401608182,0.0009121924401608182
cat__origem_Origem_17,0.0007582219448280637,0.0007582219448280637
num__data_abate_mes,-0.0006861866681524571,0.0006861866681524571
num__peso21,-0.0005195486383393015,0.0005195486383393015
num__sobra_racao_pct,0.00012897513346497676,0.00012897513346497676
num__peso28,0.00012561473357299293,0.00012561473357299293
num__mortalidade_total_pct,-7.363865371322707e-05,7.363865371322707e-05
cat__origem_Origem_8,-5.500314997217595e-05,5.500314997217595e-05
num__densidade_aves_m2,-3.741475347841398e-05,3.741475347841398e-05
cat__origem_Origem_1,-1.3883875952175671e-05,1.3883875952175671e-05
